id;género;edad;fecha_compra;factura;Bebida_favorita;horario;región;satisfacción
1180;M;85;20230727;95000;Latte;18-20;Caribe;4
1181;M;53;20211116;92000;Cappuccino;20-22;Pacífica;2
1182;M;51;20210330;61000;Espresso Doble;14-16;Andina;2
1183;M;26;20230822;63000;Espresso Macchiato;16-18;Orinoquía;5
1184;M;40;20240706;70000;Arequipe Latte;16-18;Caribe;4
1185;M;75;20191215;50000;Latte;20-22;Andina;2
1186;M;40;20191229;99000;Cappuccino;12-14;Insular;2
1187;F;81;20210810;33000;Latte;10-12;Pacífica;1
1188;;28;20231101;65400;Café del día;16-18;Pacífica;2
1189;M;78;20230921;42000;Chocolate Helado;10-12;Insular;3
1190;M;53;20220704;100000;Café del día;14-16;Insular;5
1191;M;49;20220101;79000;Latte;10-12;Caribe;2
1192;M;58;20230929;31000;Espresso Sencillo;18-20;Insular;2
1193;M;59;20230827;73000;Americano;10-12;Pacífica;2
1194;F;58;20231023;95000;Mocha Blanco Latte;14-16;Orinoquía;4
1195;F;36;20220829;77000;Café del día;14-16;Pacífica;1
1196;;28;20220224;65400;Cappuccino;12-14;Orinoquía;1
1197;M;66;20240716;56000;Chocolate Blanco;20-22;Andina;3
1198;M;71;20230117;84000;Mocha Latte;10-12;Andina;4
1199;M;83;20230301;52000;Chocolate Caliente;20-22;Insular;4
1200;M;52;20190730;65000;Americano;12-14;Insular;4
1201;;28;20220101;65400;Americano;16-18;Pacífica;3
1202;F;61;20231103;109000;Caramel Macchiato;14-16;Caribe;2
1203;M;49;20200802;74000;Espresso Doble;16-18;Insular;2
1204;F;70;20220704;87000;Chocolate Blanco Helado;14-16;Pacífica;3
1205;F;53;20231210;104000;Caramel Macchiato;16-18;Caribe;2
1206;F;59;20220813;73000;Mocha Blanco Latte;10-12;Caribe;5
1207;F;21;20230125;63000;Chocolate Helado;12-14;Caribe;3
1208;F;53;20230528;87000;Chocolate Blanco Helado;14-16;Insular;3
1209;M;32;20220726;45000;Café del día;18-20;Insular;4
1210;F;63;20240120;51000;Café del día;10-12;Pacífica;2
1211;F;75;20211117;72000;Caramel Macchiato;20-22;Orinoquía;5
1212;M;56;20240412;52000;Caramel Macchiato;16-18;Pacífica;5
1213;M;49;20210809;45000;Mocha Blanco Latte;10-12;Pacífica;1
1214;M;42;20210625;93000;Americano;12-14;Orinoquía;3
1215;;28;20230926;65400;Chocolate Blanco Helado;14-16;Andina;1
1216;M;55;20230212;71000;Latte Macchiato;10-12;Orinoquía;1
1217;M;44;20211104;55000;Mocha Blanco Latte;18-20;Andina;1
1218;;28;20211126;65400;Mocha Blanco Latte;14-16;Insular;2
1219;;28;20230420;65400;Chocolate Helado;12-14;Pacífica;2
1220;M;70;20211210;60000;Flat White;10-12;Orinoquía;5
1221;M;62;20240403;31000;Chocolate Caliente;10-12;Caribe;1
1222;M;96;20220412;82000;Arequipe Latte;16-18;Pacífica;1
1223;M;65;20230910;116000;Latte;16-18;Pacífica;1
1224;F;51;20221129;85000;Cappuccino;18-20;Insular;1
1225;F;44;20231006;63000;Latte Macchiato;18-20;Caribe;4
1226;F;39;20211225;31000;Chocolate Blanco;14-16;Caribe;3
1227;F;40;20220628;41000;Chocolate Caliente;10-12;Caribe;1
1228;F;33;20240723;64000;Mocha Blanco Latte;20-22;Caribe;2
1229;F;76;20220604;64000;Caramel Macchiato;16-18;Orinoquía;3
1230;M;26;20240622;62000;Cappuccino;20-22;Pacífica;4
1231;M;65;20220323;31000;Café del día;20-22;Orinoquía;2
1232;;28;20240203;65400;Latte;20-22;Orinoquía;5
1233;F;64;20220326;86000;Flat White;10-12;Andina;1
1234;M;75;20240201;36000;Arequipe Latte;12-14;Caribe;5
1235;F;75;20240205;99000;Espresso Sencillo;10-12;Andina;4
1236;F;58;20231029;81000;Espresso Doble;14-16;Orinoquía;4
1237;M;25;20230811;50000;Arequipe Latte;16-18;Andina;4
1238;M;19;20230902;46000;Chocolate Blanco;12-14;Andina;5
1239;F;26;20240524;69000;Chocolate Blanco Helado;10-12;Pacífica;1
1240;M;58;20220525;75000;Espresso Macchiato;20-22;Andina;4
1241;F;69;20201208;67000;Mocha Latte;16-18;Caribe;5
1242;M;58;20240102;93000;Americano;16-18;Andina;4
1243;M;48;20220206;52000;Mocha Latte;14-16;Orinoquía;2
1244;F;26;20240210;55000;Mocha Latte;12-14;Andina;2
1245;F;35;20230224;58000;Arequipe Latte;16-18;Andina;3
1246;M;63;20210530;46000;Café del día;10-12;Pacífica;5
1247;F;24;20230417;75000;Latte;18-20;Insular;4
1248;;28;20230717;65400;Flat White;10-12;Caribe;3
1249;F;48;20231116;71000;Chocolate Blanco;12-14;Andina;4
1250;M;55;20220607;79000;Chocolate Caliente;10-12;Andina;5
1251;M;58;20220601;44000;Mocha Latte;16-18;Insular;1
1252;;28;20230810;65400;Espresso Doble;12-14;Andina;4
1253;F;75;20231121;75000;Chocolate Caliente;12-14;Pacífica;5
1254;F;55;20211030;89000;Espresso Doble;12-14;Andina;4
1255;M;84;20230307;53000;Arequipe Latte;18-20;Pacífica;2
1256;F;79;20230122;102000;Cappuccino;10-12;Andina;5
1257;M;66;20221212;96000;Café del día;18-20;Pacífica;5
1258;F;67;20231209;61000;Chocolate Blanco Helado;14-16;Andina;5
1259;F;69;20220610;73000;Chocolate Helado;14-16;Insular;5
1260;M;66;20211212;62000;Americano;18-20;Orinoquía;3
1261;F;72;20220311;116000;Latte Macchiato;20-22;Orinoquía;3
1262;F;69;20230928;53000;Chocolate Caliente;18-20;Andina;3
1263;M;60;20231214;41000;Flat White;10-12;Insular;2
1264;M;84;20231007;72000;Flat White;12-14;Caribe;2
1265;F;53;20231116;68000;Chocolate Helado;14-16;Orinoquía;4
1266;F;81;20211109;111000;Latte Macchiato;10-12;Pacífica;4
1267;M;53;20201217;62000;Chocolate Caliente;12-14;Orinoquía;3
1268;M;64;20231207;56000;Flat White;10-12;Andina;5
1269;M;70;20240304;52000;Mocha Blanco Latte;14-16;Caribe;3
1270;F;52;20211226;60000;Caramel Macchiato;16-18;Insular;1
1271;;28;20240215;65400;Latte;10-12;Andina;3
1272;M;18;20240421;46000;Latte;14-16;Insular;2
1273;F;54;20230227;37000;Latte Macchiato;16-18;Orinoquía;2
1274;F;56;20211010;40000;Chocolate Helado;14-16;Pacífica;4
1275;F;68;20230208;88000;Americano;18-20;Pacífica;1
1276;M;30;20240621;55000;Espresso Macchiato;20-22;Andina;2
1277;M;59;20231021;32000;Chocolate Helado;16-18;Orinoquía;3
1278;M;50;20240308;33000;Latte Macchiato;12-14;Caribe;5
1279;M;30;20191013;41000;Chocolate Blanco;20-22;Pacífica;4
1280;M;76;20240513;43000;Latte Macchiato;14-16;Caribe;3
1281;M;34;20240411;39000;Espresso Doble;12-14;Andina;1
1282;M;74;20221005;75000;Mocha Blanco Latte;12-14;Andina;1
1283;M;56;20220402;77000;Arequipe Latte;20-22;Orinoquía;4
1284;F;87;20220210;58000;Espresso Doble;10-12;Andina;5
1285;M;80;20240113;60000;Caramel Macchiato;14-16;Orinoquía;2
1286;M;64;20220320;53000;Café del día;18-20;Orinoquía;5
1287;;28;20230901;65400;Latte Macchiato;16-18;Andina;1
1288;M;22;20240103;66000;Mocha Latte;18-20;Andina;3
1289;F;49;20240114;102000;Flat White;10-12;Orinoquía;1
1290;M;66;20240429;35000;Americano;18-20;Orinoquía;1
1291;M;70;20220819;70000;Chocolate Caliente;12-14;Andina;5
1292;;28;20230727;65400;Mocha Latte;10-12;Insular;1
1293;M;52;20220422;83000;Caramel Macchiato;14-16;Pacífica;4
1294;M;60;20230803;54000;Café del día;18-20;Insular;5
1295;M;65;20211226;52000;Caramel Macchiato;10-12;Orinoquía;5
1296;M;43;20220225;59000;Café del día;16-18;Orinoquía;3
1297;M;24;20240103;40000;Flat White;12-14;Andina;4
1298;M;65;20240310;42000;Espresso Macchiato;18-20;Orinoquía;1
1299;;28;20220317;65400;Chocolate Caliente;14-16;Orinoquía;4
1300;M;25;20201110;35000;Americano;18-20;Pacífica;4
1301;M;76;20211114;56000;Café del día;12-14;Pacífica;4
1302;M;73;20240213;73000;Chocolate Blanco;10-12;Orinoquía;1
1303;F;62;20220613;107000;Latte;12-14;Pacífica;4
1304;;28;20230413;65400;Latte Macchiato;20-22;Orinoquía;1
1305;;28;20220710;65400;Latte;18-20;Andina;1
1306;M;48;20231206;39000;Cappuccino;16-18;Andina;2
1307;M;20;20240427;75000;Cappuccino;14-16;Insular;2
1308;F;60;20231206;77000;Mocha Latte;16-18;Insular;1
1309;M;66;20240122;58000;Mocha Blanco Latte;16-18;Pacífica;1
1310;M;48;20230502;57000;Chocolate Blanco Helado;18-20;Insular;2
1311;M;80;20191104;39000;Flat White;12-14;Andina;1
1312;F;46;20231110;45000;Café del día;14-16;Caribe;3
1313;;28;20231012;65400;Arequipe Latte;18-20;Andina;4
1314;F;61;20240319;98000;Chocolate Blanco;16-18;Insular;3
1315;F;70;20231217;71000;Chocolate Blanco;18-20;Andina;3
1316;F;63;20220121;100000;Chocolate Caliente;18-20;Pacífica;5
1317;F;30;20230801;63000;Mocha Latte;18-20;Pacífica;4
1318;M;61;20231207;71000;Espresso Doble;14-16;Orinoquía;2
1319;M;55;20230911;74000;Caramel Macchiato;18-20;Pacífica;2
1320;F;53;20220311;99000;Espresso Macchiato;16-18;Insular;3
1321;M;50;20231121;31000;Espresso Sencillo;14-16;Andina;3
1322;M;68;20220501;81000;Cappuccino;16-18;Pacífica;2
1323;F;19;20210720;67000;Arequipe Latte;14-16;Orinoquía;2
1324;F;44;20230430;61000;Mocha Blanco Latte;18-20;Andina;1
1325;;28;20220610;65400;Arequipe Latte;14-16;Caribe;4
1326;M;65;20230408;35000;Cappuccino;14-16;Pacífica;1
1327;M;72;20220223;95000;Chocolate Blanco Helado;16-18;Insular;2
1328;M;58;20210811;47000;Chocolate Blanco Helado;16-18;Insular;3
1329;M;66;20221017;70000;Chocolate Blanco;18-20;Orinoquía;3
1330;F;67;20210729;110000;Latte Macchiato;14-16;Pacífica;1
1331;M;72;20230510;56000;Chocolate Blanco;10-12;Orinoquía;3
1332;M;58;20211221;31000;Chocolate Helado;18-20;Caribe;1
1333;F;63;20230725;56000;Caramel Macchiato;12-14;Orinoquía;3
1334;M;74;20231213;52000;Espresso Doble;14-16;Andina;1
1335;M;50;20220423;86000;Café del día;16-18;Pacífica;4
1336;M;35;20240505;73000;Mocha Latte;16-18;Insular;5
1337;F;51;20240116;76000;Flat White;10-12;Pacífica;2
1338;;28;20240520;65400;Chocolate Blanco;18-20;Orinoquía;2
1339;M;48;20240604;57000;Chocolate Caliente;20-22;Pacífica;3
1340;M;62;20200312;68000;Chocolate Helado;18-20;Insular;1
1341;F;71;20231130;108000;Flat White;14-16;Pacífica;3
1342;M;42;20200702;57000;Espresso Sencillo;12-14;Insular;1
1343;F;78;20231128;89000;Mocha Latte;18-20;Orinoquía;2
1344;;28;20210516;65400;Mocha Blanco Latte;12-14;Orinoquía;1
1345;F;81;20230424;119000;Café del día;10-12;Orinoquía;2
1346;F;64;20230729;71000;Americano;18-20;Andina;1
1347;M;43;20230518;56000;Chocolate Caliente;14-16;Pacífica;4
1348;F;48;20210813;93000;Latte;12-14;Andina;3
1349;O;35;20231115;54000;Latte Macchiato;18-20;Caribe;3
1350;M;40;20220911;79000;Caramel Macchiato;16-18;Insular;3
1351;;28;20231128;65400;Espresso Macchiato;14-16;Pacífica;5
1352;F;54;20231221;73000;Chocolate Blanco Helado;14-16;Caribe;4
1353;M;53;20231210;115000;Espresso Doble;12-14;Pacífica;2
1354;M;63;20190921;47000;Latte Macchiato;10-12;Insular;5
1355;F;64;20220812;68000;Latte Macchiato;10-12;Andina;4
1356;O;56;20240501;33000;Latte;14-16;Orinoquía;2
1357;M;71;20211011;73000;Cappuccino;20-22;Insular;3
1358;M;78;20220119;77000;Latte Macchiato;14-16;Insular;1
1359;;28;20210813;65400;Chocolate Blanco Helado;16-18;Andina;2
1360;M;43;20210109;32000;Chocolate Helado;18-20;Pacífica;4
1361;F;35;20190810;52000;Cappuccino;16-18;Caribe;5
1362;M;67;20221217;82000;Chocolate Helado;14-16;Andina;3
1363;F;86;20210901;93000;Flat White;18-20;Orinoquía;5
1364;;28;20240413;65400;Espresso Macchiato;12-14;Pacífica;2
1365;F;53;20220215;114000;Café del día;20-22;Pacífica;4
1366;F;45;20230830;33000;Mocha Blanco Latte;16-18;Orinoquía;2
1367;M;49;20231108;40000;Espresso Doble;10-12;Pacífica;3
1368;M;37;20231029;66000;Espresso Doble;10-12;Andina;3
1369;F;81;20210729;88000;Latte Macchiato;10-12;Pacífica;5
1370;F;33;20230923;41000;Chocolate Caliente;18-20;Orinoquía;5
1371;F;48;20230907;74000;Americano;16-18;Insular;1
1372;F;54;20231216;92000;Chocolate Blanco;20-22;Pacífica;4
1373;;28;20240718;65400;Cappuccino;20-22;Pacífica;3
1374;F;88;20231020;55000;Chocolate Blanco Helado;12-14;Orinoquía;2
1375;;28;20240613;65400;Café del día;14-16;Andina;2
1376;F;22;20220426;65000;Chocolate Helado;14-16;Andina;4
1377;;28;20220306;65400;Espresso Macchiato;10-12;Andina;5
1378;F;62;20220502;98000;Cappuccino;14-16;Orinoquía;4
1379;M;41;20220203;60000;Latte;12-14;Insular;5
1380;F;60;20211227;53000;Flat White;18-20;Pacífica;2
1381;;28;20210812;65400;Espresso Sencillo;12-14;Caribe;5
1382;M;75;20220920;64000;Flat White;14-16;Orinoquía;3
1383;F;51;20240628;100000;Café del día;20-22;Andina;5
1384;F;60;20240106;32000;Espresso Macchiato;10-12;Pacífica;1
1385;M;80;20210926;70000;Americano;10-12;Insular;3
1386;M;19;20240501;59000;Flat White;14-16;Andina;1
1387;M;53;20200908;34000;Americano;10-12;Andina;3
1388;M;41;20230919;53000;Chocolate Blanco Helado;18-20;Andina;3
1389;;28;20230828;65400;Mocha Latte;18-20;Orinoquía;1
1390;F;55;20221015;52000;Mocha Blanco Latte;14-16;Insular;5
1391;M;66;20231013;86000;Café del día;12-14;Pacífica;2
1392;F;42;20230821;59000;Cappuccino;12-14;Insular;2
1393;M;77;20240428;61000;Chocolate Blanco;14-16;Orinoquía;2
1394;M;59;20240318;63000;Chocolate Blanco;14-16;Orinoquía;5
1395;F;77;20220113;87000;Flat White;20-22;Pacífica;1
1396;F;58;20230408;93000;Caramel Macchiato;10-12;Pacífica;2
1397;;28;20230225;65400;Americano;12-14;Andina;4
1398;F;53;20220805;99000;Latte Macchiato;10-12;Caribe;5
1399;M;43;20240524;33000;Espresso Macchiato;18-20;Insular;1
1400;M;50;20220911;39000;Latte;14-16;Caribe;2
1401;F;56;20231208;76000;Espresso Macchiato;20-22;Insular;4
1402;M;62;20230115;50000;Chocolate Blanco;10-12;Orinoquía;1
1403;M;64;20231223;36000;Latte Macchiato;18-20;Pacífica;1
1404;M;31;20240118;44000;Caramel Macchiato;20-22;Insular;3
1405;M;56;20220322;99000;Americano;10-12;Orinoquía;2
1406;F;60;20240116;99000;Espresso Doble;16-18;Caribe;3
1407;M;51;20230106;63000;Chocolate Blanco Helado;10-12;Pacífica;2
1408;M;71;20231011;32000;Espresso Sencillo;12-14;Caribe;5
1409;M;80;20240328;51000;Latte Macchiato;20-22;Andina;2
1410;F;67;20230516;87000;Chocolate Blanco Helado;10-12;Pacífica;4
1411;F;76;20211217;98000;Latte;12-14;Andina;1
1412;M;29;20231223;59000;Caramel Macchiato;10-12;Andina;4
1413;F;63;20240402;81000;Espresso Sencillo;20-22;Insular;4
1414;F;64;20231203;76000;Arequipe Latte;12-14;Insular;2
1415;;28;20230731;65400;Flat White;18-20;Orinoquía;4
1416;M;22;20200909;56000;Cappuccino;20-22;Orinoquía;3
1417;F;52;20231201;80000;Cappuccino;18-20;Insular;2
1418;F;82;20220313;99000;Espresso Sencillo;14-16;Pacífica;5
1419;F;63;20230515;86000;Mocha Blanco Latte;12-14;Orinoquía;1
1420;;28;20230308;65400;Espresso Sencillo;14-16;Caribe;4
1421;M;27;20240703;70000;Mocha Blanco Latte;10-12;Insular;1
1422;;28;20221229;65400;Mocha Latte;18-20;Pacífica;2
1423;M;82;20231010;86000;Americano;20-22;Pacífica;2
1424;F;55;20230816;81000;Caramel Macchiato;16-18;Pacífica;4
1425;;28;20230829;65400;Americano;14-16;Orinoquía;1
1426;;28;20211231;65400;Chocolate Helado;18-20;Orinoquía;4
1427;F;60;20230418;115000;Caramel Macchiato;12-14;Orinoquía;3
1428;F;67;20240220;81000;Latte;12-14;Orinoquía;5
1429;M;44;20230912;55000;Cappuccino;10-12;Insular;2
1430;;28;20240726;65400;Cappuccino;16-18;Insular;1
1431;M;19;20210824;46000;Americano;20-22;Caribe;2
1432;;28;20220622;65400;Latte Macchiato;20-22;Andina;5
1433;M;62;20240128;114000;Espresso Macchiato;12-14;Pacífica;5
1434;;28;20230803;65400;Caramel Macchiato;12-14;Andina;5
1435;F;57;20220805;70000;Caramel Macchiato;14-16;Insular;3
1436;M;75;20231008;71000;Chocolate Caliente;16-18;Caribe;2
1437;M;52;20231030;73000;Americano;12-14;Andina;5
1438;M;69;20230428;80000;Flat White;10-12;Andina;3
1439;;28;20240223;65400;Arequipe Latte;10-12;Insular;5
1440;F;50;20230802;70000;Latte Macchiato;16-18;Orinoquía;1
1441;M;63;20230809;40000;Caramel Macchiato;18-20;Andina;2
1442;F;66;20240501;62000;Mocha Latte;14-16;Andina;3
1443;F;45;20220721;61000;Americano;14-16;Pacífica;1
1444;F;63;20221203;31000;Espresso Doble;12-14;Orinoquía;3
1445;M;82;20230912;62000;Chocolate Blanco;16-18;Insular;5
1446;M;70;20230729;47000;Latte Macchiato;10-12;Caribe;5
1447;F;60;20231229;101000;Latte Macchiato;16-18;Andina;3
1448;F;85;20230418;75000;Chocolate Blanco;18-20;Insular;1
1449;M;57;20231215;69000;Chocolate Blanco;12-14;Andina;2
1450;M;28;20220422;41000;Espresso Macchiato;14-16;Orinoquía;4
1451;M;59;20210825;68000;Flat White;10-12;Insular;1
1452;M;57;20220404;83000;Espresso Doble;16-18;Caribe;2
1453;M;38;20210820;46000;Chocolate Helado;18-20;Pacífica;5
1454;;28;20230506;65400;Chocolate Caliente;16-18;Insular;3
1455;M;44;20221122;47000;Café del día;14-16;Caribe;2
1456;M;24;20240202;63000;Café del día;12-14;Andina;5
1457;M;76;20240308;36000;Mocha Latte;18-20;Insular;4
1458;;28;20231117;65400;Mocha Latte;16-18;Caribe;3
1459;M;33;20240525;33000;Chocolate Blanco Helado;12-14;Insular;2
1460;F;71;20230303;72000;Latte Macchiato;18-20;Orinoquía;1
1461;M;28;20220929;60000;Cappuccino;18-20;Caribe;1
1462;F;63;20240314;58000;Latte Macchiato;14-16;Orinoquía;4
1463;M;42;20231014;74000;Arequipe Latte;14-16;Caribe;1
1464;F;55;20240722;53000;Arequipe Latte;16-18;Andina;1
1465;F;53;20230911;84000;Mocha Blanco Latte;16-18;Caribe;1
1466;M;64;20240310;61000;Latte Macchiato;16-18;Caribe;2
1467;M;54;20201024;46000;Espresso Macchiato;20-22;Orinoquía;5
1468;;28;20231109;65400;Chocolate Blanco Helado;16-18;Orinoquía;5
1469;F;93;20220411;59000;Latte;12-14;Insular;1
1470;F;24;20240606;33000;Espresso Doble;20-22;Insular;1
1471;F;48;20210112;82000;Americano;16-18;Insular;1
1472;M;28;20240529;48000;Caramel Macchiato;20-22;Andina;1
1473;F;51;20230801;98000;Flat White;10-12;Insular;4
1474;M;55;20220509;91000;Mocha Blanco Latte;12-14;Caribe;2
1475;M;23;20221102;42000;Americano;20-22;Insular;2
1476;F;51;20231114;56000;Chocolate Blanco;20-22;Pacífica;5
1477;O;20;20240205;33000;Chocolate Caliente;16-18;Orinoquía;1
1478;M;83;20210307;39000;Espresso Doble;12-14;Insular;5
1479;M;63;20230507;89000;Latte;14-16;Pacífica;5
1480;;28;20240321;65400;Mocha Latte;12-14;Andina;4
1481;;28;20240107;65400;Espresso Sencillo;18-20;Insular;2
1482;M;53;20221007;50000;Chocolate Caliente;12-14;Caribe;1
1483;O;47;20221012;39000;Arequipe Latte;18-20;Andina;3
1484;M;86;20220914;55000;Espresso Macchiato;18-20;Pacífica;4
1485;M;37;20240105;64000;Chocolate Blanco Helado;10-12;Pacífica;1
1486;F;49;20230821;104000;Espresso Doble;18-20;Andina;3
1487;M;61;20220929;81000;Espresso Sencillo;16-18;Pacífica;1
1488;M;66;20231106;42000;Latte;18-20;Orinoquía;2
1489;F;37;20211113;60000;Mocha Latte;12-14;Insular;2
1490;M;70;20240104;73000;Cappuccino;18-20;Andina;3
1491;F;65;20231021;53000;Americano;18-20;Caribe;1
1492;M;45;20230326;67000;Flat White;18-20;Orinoquía;1
1493;M;40;20240427;57000;Cappuccino;14-16;Orinoquía;2
1494;;28;20230103;65400;Espresso Doble;20-22;Insular;4
1495;F;62;20240421;55000;Espresso Macchiato;20-22;Insular;3
1496;M;42;20231217;52000;Latte;20-22;Andina;4
1497;M;64;20220207;108000;Americano;14-16;Insular;4
1498;M;70;20230803;105000;Café del día;12-14;Insular;2
1499;M;29;20230228;41000;Latte;10-12;Caribe;4
1500;M;37;20221017;69000;Espresso Doble;10-12;Orinoquía;2
1501;M;59;20230403;74000;Espresso Doble;16-18;Pacífica;4
1502;M;20;20220110;62000;Americano;12-14;Caribe;3
1503;M;47;20240308;54000;Chocolate Helado;18-20;Caribe;1
1504;M;37;20240327;48000;Mocha Latte;18-20;Pacífica;1
1505;M;89;20240618;82000;Chocolate Caliente;12-14;Insular;3
1506;M;23;20230924;34000;Caramel Macchiato;10-12;Insular;5
1507;M;55;20231226;80000;Americano;12-14;Caribe;3
1508;F;48;20240713;46000;Latte;10-12;Orinoquía;3
1509;M;42;20210901;48000;Caramel Macchiato;20-22;Andina;1
1510;F;52;20221021;114000;Mocha Latte;18-20;Orinoquía;4
1511;M;38;20220514;47000;Latte;16-18;Andina;4
1512;M;35;20230906;42000;Chocolate Caliente;18-20;Orinoquía;5
1513;M;53;20210831;104000;Americano;16-18;Andina;3
1514;F;82;20210821;65000;Espresso Doble;14-16;Andina;1
1515;M;32;20210213;57000;Chocolate Caliente;18-20;Pacífica;4
1516;;28;20240123;65400;Latte Macchiato;14-16;Pacífica;5
1517;M;28;20240726;33000;Espresso Sencillo;12-14;Orinoquía;5
1518;F;62;20230703;96000;Espresso Macchiato;14-16;Insular;1
1519;;28;20210815;65400;Flat White;18-20;Caribe;3
1520;F;92;20240225;63000;Espresso Doble;18-20;Andina;2
1521;;28;20240208;65400;Caramel Macchiato;12-14;Pacífica;3
1522;M;49;20231002;67000;Americano;16-18;Pacífica;5
1523;M;82;20231205;115000;Chocolate Helado;18-20;Insular;2
1524;M;41;20200618;57000;Chocolate Helado;20-22;Andina;3
1525;M;75;20220117;89000;Espresso Macchiato;18-20;Orinoquía;1
1526;M;61;20231218;35000;Mocha Latte;20-22;Caribe;4
1527;F;61;20211018;49000;Flat White;12-14;Caribe;1
1528;F;30;20220520;56000;Café del día;18-20;Insular;4
1529;M;54;20190914;72000;Espresso Doble;16-18;Caribe;5
1530;;28;20221214;65400;Espresso Doble;10-12;Orinoquía;3
1531;F;52;20230817;84000;Espresso Macchiato;16-18;Insular;3
1532;M;43;20240516;42000;Latte;20-22;Insular;5
1533;M;32;20200117;52000;Cappuccino;20-22;Caribe;3
1534;F;35;20231021;74000;Café del día;12-14;Pacífica;3
1535;M;31;20201103;69000;Cappuccino;20-22;Insular;4
1536;M;50;20220404;59000;Caramel Macchiato;10-12;Orinoquía;2
1537;F;38;20191006;59000;Mocha Latte;14-16;Andina;2
1538;F;57;20220829;53000;Mocha Latte;18-20;Insular;3
1539;F;50;20240212;58000;Chocolate Blanco;12-14;Insular;2
1540;M;24;20211123;65000;Espresso Doble;16-18;Pacífica;3
1541;O;64;20240529;31000;Caramel Macchiato;14-16;Andina;4
1542;M;56;20210204;49000;Chocolate Caliente;20-22;Andina;3
1543;M;20;20220814;67000;Mocha Blanco Latte;20-22;Caribe;4
1544;F;65;20221004;53000;Café del día;10-12;Insular;1
1545;;28;20230926;65400;Chocolate Caliente;14-16;Insular;4
1546;M;33;20231222;42000;Chocolate Blanco Helado;14-16;Pacífica;2
1547;M;60;20240115;83000;Mocha Blanco Latte;16-18;Caribe;2
1548;F;67;20230930;107000;Chocolate Blanco;20-22;Orinoquía;2
1549;M;51;20231206;34000;Espresso Macchiato;12-14;Caribe;4
1550;;28;20220203;65400;Latte Macchiato;14-16;Caribe;3
1551;M;49;20240224;70000;Chocolate Blanco;10-12;Andina;2
1552;M;63;20231013;77000;Mocha Blanco Latte;14-16;Insular;5
1553;M;75;20210912;97000;Cappuccino;16-18;Pacífica;1
1554;;28;20220731;65400;Espresso Doble;14-16;Caribe;2
1555;M;91;20210208;78000;Latte;18-20;Pacífica;5
1556;F;101;20231004;43000;Chocolate Blanco;16-18;Caribe;1
1557;M;42;20240105;62000;Espresso Doble;14-16;Orinoquía;1
1558;F;52;20211228;80000;Mocha Blanco Latte;10-12;Andina;1
1559;M;57;20230801;66000;Espresso Sencillo;12-14;Orinoquía;5
1560;M;72;20211002;79000;Arequipe Latte;18-20;Andina;4
1561;M;66;20220731;47000;Latte Macchiato;14-16;Caribe;3
1562;M;37;20240624;72000;Americano;12-14;Insular;5
1563;;28;20240617;65400;Chocolate Caliente;16-18;Insular;5
1564;;28;20230628;65400;Latte Macchiato;14-16;Insular;3
1565;M;76;20210715;64000;Latte Macchiato;20-22;Insular;4
1566;;28;20240221;65400;Chocolate Blanco;10-12;Pacífica;4
1567;M;56;20220125;82000;Latte Macchiato;14-16;Insular;1
1568;M;55;20230817;63000;Chocolate Blanco Helado;16-18;Pacífica;5
1569;M;36;20230830;47000;Chocolate Caliente;20-22;Orinoquía;2
1570;M;64;20220811;90000;Chocolate Helado;18-20;Andina;5
1571;M;23;20230222;60000;Espresso Macchiato;16-18;Caribe;1
1572;M;30;20230220;35000;Espresso Macchiato;20-22;Insular;1
1573;M;67;20240615;57000;Espresso Macchiato;12-14;Insular;1
1574;;28;20230330;65400;Café del día;20-22;Insular;2
1575;M;42;20221028;49000;Latte Macchiato;16-18;Pacífica;5
1576;M;41;20231208;65000;Americano;14-16;Caribe;3
1577;F;28;20240714;57000;Caramel Macchiato;20-22;Orinoquía;3
1578;;28;20240609;65400;Chocolate Helado;12-14;Caribe;3
1579;F;64;20240113;93000;Chocolate Caliente;12-14;Pacífica;2
1580;;28;20240628;65400;Chocolate Helado;12-14;Andina;5
1581;F;51;20230811;80000;Café del día;10-12;Pacífica;3
1582;M;82;20200108;60000;Café del día;14-16;Insular;5
1583;F;54;20231207;112000;Mocha Latte;12-14;Orinoquía;1
1584;;28;20210905;65400;Café del día;18-20;Andina;5
1585;M;28;20240220;59000;Chocolate Blanco Helado;10-12;Insular;3
1586;M;68;20210921;85000;Flat White;16-18;Orinoquía;4
1587;;28;20220816;65400;Mocha Latte;12-14;Orinoquía;5
1588;F;37;20220191;51000;Flat White;20-22;Pacífica;5
1589;F;55;20190914;95000;Espresso Sencillo;20-22;Andina;2
1590;;28;20210806;65400;Chocolate Blanco;20-22;Andina;2
1591;F;61;20220505;73000;Americano;12-14;Insular;5
1592;M;63;20230820;70000;Mocha Latte;20-22;Orinoquía;2
1593;F;69;20210425;85000;Café del día;18-20;Orinoquía;5
1594;M;80;20220121;50000;Arequipe Latte;20-22;Insular;3
1595;F;63;20230906;72000;Mocha Latte;18-20;Caribe;5
1596;F;63;20230625;99000;Chocolate Blanco;16-18;Orinoquía;4
1597;F;33;20230812;56000;Cappuccino;20-22;Orinoquía;2
1598;M;67;20231013;71000;Café del día;20-22;Pacífica;5
1599;F;78;20231028;72000;Chocolate Caliente;14-16;Insular;1
